party,district,date,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,percentage,percentageVoters,validVotesPercentage,votes
A,Aveiro,2019-10-06,10642,447.3999999999999,6375,272.96,83.87999999999998,8015.390000000002,88.31000000000006,2178
A,Açores,2019-10-06,3926,831.7299999999993,1363,248.05000000000004,104.6,6204.549999999999,111.87000000000002,732
A,Beja,2019-10-06,1371,140.85999999999999,1094,129.98999999999998,23.020000000000003,3994.11,23.89,252
A,Braga,2019-10-06,14504,1053.83,8029,645.0499999999994,157.50999999999996,20522.750000000004,165.71000000000018,2182
A,Bragança,2019-10-06,1305,439.96999999999997,1417,534.4799999999999,67.36000000000003,10084.110000000006,70.58999999999999,309
A,Castelo Branco,2019-10-06,2250,279.49000000000007,2232,324.70999999999987,73.14999999999999,6581.849999999999,77.1,715
A,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.09999999999985,124.25000000000004,8356.199999999999,131.71000000000004,2106
A,Faro,2019-10-06,4900,200.80000000000004,3069,136.77000000000004,38.800000000000004,3274.2000000000003,40.82000000000001,1310
A,Guarda,2019-10-06,2026,625.8999999999994,2057,675.4999999999997,104.64000000000001,11918.08,110.9,406
A,Leiria,2019-10-06,8202,390.65000000000003,5152,266.55000000000007,95.35999999999996,6036.829999999998,101.63000000000001,2183
A,Lisboa,2019-10-06,23702,327.96,16081,226.88,148.5900000000001,7702.05,154.84,14036
A,Madeira,2019-10-06,697,31.670000000000016,2292,96.04,20.7,2742.3799999999997,21.229999999999997,630
A,Portalegre,2019-10-06,1200,140.92999999999998,999,142.62000000000003,28.260000000000005,3953.2100000000005,29.479999999999997,269
A,Porto,2019-10-06,21233,537.0000000000005,15185,439.64999999999986,82.68000000000002,14050.8,86.17999999999996,4370
A,Santarém,2019-10-06,6022,401.42000000000013,4011,286.9199999999999,106.65,7980.309999999998,112.40000000000002,1698
A,Setúbal,2019-10-06,8191,114.34999999999997,6038,82.91999999999999,34.09,3000.2299999999996,35.440000000000005,2889
A,Viana do Castelo,2019-10-06,3617,588.8000000000001,2199,371.44999999999965,86.10999999999997,10214.650000000003,90.47,679
A,Vila Real,2019-10-06,2258,427.4400000000001,2397,525.3799999999999,96.68000000000004,8533.27,101.77000000000001,700
A,Viseu,2019-10-06,4995,693.7199999999996,3700,611.5299999999996,142.61000000000007,14117.129999999994,150.01000000000005,1215
A,Évora,2019-10-06,1680,139.88,1047,100.47000000000001,32.38000000000001,3860.2999999999997,33.60999999999999,459
B.E.,Aveiro,2015-10-04,9163,353.6900000000002,6130,252.76000000000005,1194.4100000000003,8243.029999999999,1246.5100000000004,35327
B.E.,Aveiro,2019-10-06,10642,447.3999999999999,6375,272.96,1280.0999999999997,8015.390000000001,1346.0600000000002,35068
B.E.,Açores,2015-10-04,3047,556.74,1583,284.56999999999994,1020.3900000000001,7021.7599999999975,1077.3599999999997,7330
B.E.,Açores,2019-10-06,3926,831.7299999999993,1363,248.05,1034.22,6204.549999999998,1110.8699999999994,6661
B.E.,Beja,2015-10-04,1230,110.82000000000002,1132,120.95000000000003,543.4300000000001,4397.6399999999985,561.0000000000001,6105
B.E.,Beja,2019-10-06,1371,140.85999999999999,1094,129.98999999999998,594.65,3994.1099999999997,617.8699999999998,5833
B.E.,Braga,2015-10-04,10708,754.4299999999995,6112,458.45000000000005,2507.4199999999983,20443.15,2599.2399999999993,41745
B.E.,Braga,2019-10-06,14504,1053.83,8029,645.0499999999994,2479.1599999999994,20522.750000000004,2606.8199999999993,41331
B.E.,Bragança,2015-10-04,1189,371.7700000000001,1408,473.1700000000002,1034.9599999999996,10585.050000000003,1075.52,3858
B.E.,Bragança,2019-10-06,1305,439.96999999999997,1417,534.4799999999999,1079.7099999999994,10084.110000000006,1129.850000000001,3833
B.E.,Castelo Branco,2015-10-04,2091,227.7899999999999,2167,283.78,963.5700000000003,6792.179999999996,1005.6300000000005,10450
B.E.,Castelo Branco,2019-10-06,2250,279.49000000000007,2232,324.70999999999987,1053.61,6581.849999999999,1108.6299999999999,10352
B.E.,Coimbra,2015-10-04,5929,392.8599999999999,3536,293.0800000000001,1255.7199999999998,8770.320000000003,1313.5700000000004,21780
B.E.,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.09999999999985,1401.2300000000002,8356.2,1484.3700000000003,22808
B.E.,Faro,2015-10-04,4286,153.04000000000002,3079,124.43,836.0499999999998,3619.5499999999997,871.53,26922
B.E.,Faro,2019-10-06,4900,200.79999999999998,3069,136.77,737.9700000000001,3274.2000000000003,776.49,21255
B.E.,Guarda,2015-10-04,1689,505.5499999999998,1987,596.7099999999995,1485.5100000000004,12321.069999999996,1557.8400000000004,6341
B.E.,Guarda,2019-10-06,2026,625.8999999999994,2057,675.4999999999997,1512.8099999999997,11918.08,1600.3399999999995,5990
B.E.,Leiria,2015-10-04,6902,311.59000000000003,4699,228.64999999999998,886.7000000000002,6298.630000000001,933.3099999999998,23034
B.E.,Leiria,2019-10-06,8202,390.6500000000001,5152,266.55000000000007,862.5900000000003,6036.829999999998,917.4199999999998,20925
B.E.,Lisboa,2015-10-04,22176,285.3299999999999,17112,212.62000000000018,1400.8700000000001,8132.059999999999,1454.7000000000007,125438
B.E.,Lisboa,2019-10-06,23702,327.96,16081,226.88000000000002,1239.8200000000004,7702.05,1292.6500000000003,106944
B.E.,Madeira,2015-10-04,1018,47.94000000000001,3597,156.12,440.88000000000005,2623.62,458.73,13342
B.E.,Madeira,2019-10-06,697,31.670000000000012,2292,96.04,212.9,2742.3799999999997,217.92,6806
B.E.,Portalegre,2015-10-04,1130,118.61000000000004,896,104.43,546.7499999999998,4266.54,565.6000000000001,5427
